# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4930E19     2.4970E18    2.3272E-10   3.3070E-11    50549.22369    50549.68478
2.0930E19     3.5010E18    2.0304E-10   3.7517E-11    50549.22369    50549.68478
2.9340E19     4.9070E18    2.5787E-10   5.6143E-11    50549.22369    50549.68478
6.7220E16     1.1240E16    6.1571E-11   4.2874E-12    50545.21646    50545.66812
9.4230E16     1.5760E16    8.8223E-11   1.1142E-11    50545.21646    50545.66812
1.3210E17     2.2090E16    9.6955E-11   7.0414E-12    50545.21646    50545.66812
1.8510E17     3.0970E16    9.7782E-11   4.3627E-12    50545.21646    50545.66812
2.5950E17     4.3410E16    1.1026E-10   3.9957E-12    50545.21646    50545.66812
3.6380E17     6.0840E16    1.1635E-10   4.0110E-12    50545.21646    50545.66812
5.0990E17     8.5290E16    1.2480E-10   3.0057E-12    50545.21646    50545.66812
7.1470E17     1.1950E17    1.2951E-10   3.0008E-12    50545.21646    50545.66812
1.0020E18     1.6760E17    1.3368E-10   3.6229E-12    50545.21646    50545.66812
1.4040E18     2.3490E17    1.3598E-10   4.8935E-12    50545.21646    50545.66812
1.9680E18     3.2920E17    1.4057E-10   7.8089E-12    50545.21646    50545.66812
2.7590E18     4.6150E17    1.4571E-10   1.2201E-11    50545.21646    50545.66812
3.8680E18     6.4690E17    1.2644E-10   9.2834E-12    50545.21646    50545.66812
5.4210E18     9.0680E17    1.1756E-10   8.2634E-12    50545.21646    50545.66812
7.5990E18     1.2710E18    1.0550E-10   1.2223E-11    50545.21646    50545.66812
1.0650E19     1.7820E18    1.2019E-10   1.8117E-11    50545.21646    50545.66812
1.4930E19     2.4970E18    1.1908E-10   2.5586E-11    50545.21646    50545.66812
2.0930E19     3.5010E18    1.0897E-10   2.9000E-11    50545.21646    50545.66812
2.9340E19     4.9070E18    1.3305E-10   4.3257E-11    50545.21646    50545.66812
6.7220E16     1.1240E16    1.9946E-11   2.1194E-12    50984.44023    50985.16509
9.4230E16     1.5760E16    2.7776E-11   5.4579E-12    50984.44023    50985.16509
1.3210E17     2.2090E16    2.8134E-11   3.3385E-12    50984.44023    50985.16509
1.8510E17     3.0970E16    2.7563E-11   2.0153E-12    50984.44023    50985.16509
2.5950E17     4.3410E16    2.8206E-11   1.7494E-12    50984.44023    50985.16509
3.6380E17     6.0840E16    3.0816E-11   1.8687E-12    50984.44023    50985.16509
